m_moviekey,m_title,m_genre,m_cast,m_releasetime,m_language,m_description,m_countrykey
70241153,A Moment To Remember,"Romantic, Drama","Jung Woo-sung, Son Ye-jin, Baek Jong-hak",2004,Korean,"A romance blossoms between a clothing designer and a cautious young man, but because the two have both been hurt in the past, it develops slowly.",2
60022589,A Walk to Remember,Romance,"Mandy Moore, Shane West, Peter Coyote",2002,English,"When bad boy Landon is cast opposite campus bookworm Jamie in a high school play, romance blooms — until tragedy threatens to tear them apart.",1
81017092,Along With The Gods: The Last 49 Days,"Fantasy, Action","Ha Jung-woo, Ju Ji-hoon, Kim Hyang-gi",2018,Korean,"While defending an unlikely soul, the afterlife Guardians investigate an elderly man who’s outstayed his time on Earth, and delve into their own past.",2
80214451,Along With The Gods: The Two Worlds,"Fantasy, Action","Ha Jung-woo, Cha Tae-hyun, Ju Ji-hoon",2017,Korean,"A firefighter dies and arrives in the afterlife, where Guardians take him through the seven trials and a perilous journey through different hells.",2
80091194,Architecture 101,"Romantic, Drama","Uhm Tae-woong, Han Ga-in, Lee Je-hoon, Bae Suzy",2012,Korean,"Many years after they fell in love during an architecture class, Seo-yeon tracks down Seung-min to design her dream house and rekindle their romance.",2
80991555,Be With You,"Romance, Drama","So Ji-sub, Son Ye-jin, Kim. Ji-hwan",2018,Korean,"A father tries to comfort his son, who believes his dead mother will return, but is surprised to stumble across someone who looks just like her.",2
80075170,Beauty Inside,"Romance, Comedy","	Han Hyo-joo, Yoo Yeon-seok, Bae Seong-woo",2015,Korean,"Awakening each day in a different body, Woo-jin must constantly adjust. But the biggest adjustment may be the one his girlfriend has to make.",2
80033517,C’EST SI BON,"Musical, Drama","	Jung Woo, Kim Yoon-seok, Han Hyo-joo, Kim Hee-ae",2015,Korean,"In late 1960s Seoul, in a famed music venue called C'est Si Bon, three twentysomethings form a folk band whose music is inspired by a pretty muse.",2
80168188,Chasing Coral,Documentary,,2017,English,"Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs.",1
81031373,Don't F**k with Cats: Hunting an Internet Killer,Documentary,,2019,English,A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,1
80000003,EXIT,"Disaster, Action, Comedy","	Jo Jung-suk, Im Yoon-ah",2019,Korean,"A grown man who attempts to reconnect with an old crush, but following a chain of events, they end up trying to escape from a mysterious white gas that threatens to engulf the entire Seoul district.",2
60000724,Forrest Gump,Family,"Tom Hanks, Robin Wright, Gary Sinise",1994,English,"Forrest Gump, a friendly, simpleminded man, finds himself in the middle of nearly every major event of the 1960s and '70s.",1
