g_key,g_description,g_cast
70241153,"A romance blossoms between a clothing designer and a cautious young man, but because the two have both been hurt in the past, it develops slowly.","Jung Woo-sung, Son Ye-jin, Baek Jong-hak"
60022589,"When bad boy Landon is cast opposite campus bookworm Jamie in a high school play, romance blooms — until tragedy threatens to tear them apart.","Mandy Moore, Shane West, Peter Coyote"
81017092,"While defending an unlikely soul, the afterlife Guardians investigate an elderly man who’s outstayed his time on Earth, and delve into their own past.","Ha Jung-woo, Ju Ji-hoon, Kim Hyang-gi"
80214451,"A firefighter dies and arrives in the afterlife, where Guardians take him through the seven trials and a perilous journey through different hells.","Ha Jung-woo, Cha Tae-hyun, Ju Ji-hoon"
80091194,"Many years after they fell in love during an architecture class, Seo-yeon tracks down Seung-min to design her dream house and rekindle their romance.","Uhm Tae-woong, Han Ga-in, Lee Je-hoon, Bae Suzy"
80991555,"A father tries to comfort his son, who believes his dead mother will return, but is surprised to stumble across someone who looks just like her.","So Ji-sub, Son Ye-jin, Kim. Ji-hwan"
80075170,"Awakening each day in a different body, Woo-jin must constantly adjust. But the biggest adjustment may be the one his girlfriend has to make.","Han Hyo-joo, Yoo Yeon-seok, Bae Seong-woo"
80033517,"In late 1960s Seoul, in a famed music venue called C'est Si Bon, three twentysomethings form a folk band whose music is inspired by a pretty muse.","Jung Woo, Kim Yoon-seok, Han Hyo-joo, Kim Hee-ae"
80168188,"Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs.",
81031373,A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,
80000003,"A grown man who attempts to reconnect with an old crush, but following a chain of events, they end up trying to escape from a mysterious white gas that threatens to engulf the entire Seoul district.","Jo Jung-suk, Im Yoon-ah"
60000724,"Forrest Gump, a friendly, simpleminded man, finds himself in the middle of nearly every major event of the 1960s and '70s.","Tom Hanks, Robin Wright, Gary Sinise"
80000006,An unlikely romance between a dedicated firefighter struggling to overcome the death of his wife and a peppy yet calculated doctor who looks to save her career from the brink of disaster.,"Go Soo, Han Hyo-joo"
80000005,A young man remembers the complex relationship he formed with two young women,"Cha Tae-hyun, Lee Eun-ju, Son Ye-jin"
80098478,"An average college student falls for a beautiful drunk girl he meets on the subway, but keeping up with her wild antics takes a toll on him.","Jun Ji-hyun, Cha Tae-hyun"
80230533,A soccer fan marries his girlfriend in hopes of putting an end to her philandering. But he soon learns she wants to take a second husband.,"Son Ye-jin, Kim Joo-hyuk, Joo Sang-wook"
