t_showkey,t_showtitle,t_genre,t_releasetime,t_language,t_seasoNum,t_countrykey
80214405,A Korean Odyssey,"Fantasy, Romance",2017,Korean,1,2
80050008,A Series of Unfortunate Events,Family,2017,English,3,1
70000007,Angel’s Last Mission: Love,"Romance, Fantasy",2019,Korean,1,2
80136311,Anne with an E,Family,2017,English,3,1
80117833,Babies,Documentary,2020,English,2,1
70272479,Bates Motel,Thriller,2013,English,5,1
80999059,Birth of a Beauty,"Comedy, Romance",2014,Korean,1,2
70264888,Black Mirror,"Sci-Fi, Supernatural",2011,English,5,1
70143836,Breaking Bad,"Action, Crime",2008,English,5,1
70000004,Come Back Mister,"Family, Drama",2016,Korean,1,2
81159258,Crash Landing On You,"Romance, Comedy, Action",2019,Korean,1,2
70153390,Criminal Minds,Thriller,2005,English,12,1
80100172,Dark,"Sci-Fi, Supernatural",2017,English,3,1
80123798,Descendants of the Sun,"Romance, Comedy, Action, Medical",2016,Korean,1,2
80118100,Dirty Money,Documentary,2018,English,2,1
70000002,Dong Yi,Historical,2010,Korean,1,2
70244998,Dream High,Youth,2011,Korean,1,2
70205634,El Chavo,Comedy,1979,Spanish,1,6
80216752,Explained,Documentary,2018,English,2,1
81234382,Extraordinary You,"Fantasy, Romance, Youth",2019,Korean,1,2
70155617,Full House,Comedy,1987,English,8,1
80051137,Fuller House,Comedy,2016,English,5,1
80177342,Good Girls,Thriller,2018,English,2,1
80017537,Grace and Frankie,Comedy,2015,English,6,1
80031737,Gu Family Book,"Fantasy, Romance, Historical",2013,Korean,1,2
81271145,Hangar 1: The UFO Files,Documentary,2014,English,1,1
8012868,"Hello, My Twenties!",Youth,2016,Korean,2,2
70000008,Her Private Life,"Romance, Comedy",2019,Korean,1,2
81239224,Hospital Playlist,"Medical, Comedy",2020,Korean,1,2
81205849,Hotel Del Luna,"Fantasy, Romance",2019,Korean,1,2
70000005,Hotel King,Drama,2014,Korean,1,2
80202283,I am a Killer,Documentary,2018,English,2,1
81243992,It's Okay Not To Be Okay,Romance,2020,Korean,1,2
81193309,Itaewon Class,Social Issue,2020,Korean,1,2
70000003,Jang Bori is Here!,"Family, Drama",2014,Korean,1,2
81042150,King 2 Hearts,Romance,2012,Korean,1,2
70243132,La familia P. Luche,Comedy,2012,Spanish,3,6
81012551,Legend of the Blue Sea,"Fantasy, Romance",2016,Korean,1,2
80104198,Lost in Space,Family,2018,English,2,1
80057918,Lucifer,"Sci-Fi, Supernatural",2016,English,5,1
70155569,Malcolm in the Middle,Comedy,2000,English,4,1
80144355,Mars,"Sci-Fi, Supernatural",2016,English,2,1
81004280,Memories of the Alhambra,Sci-Fi,2018,Korean,1,2
70000009,Missing You ,Drama,2012,Korean,1,2
70143858,Modern Family,Comedy,2009,English,10,1
80192098,Money Heist,Action,2017,Spanish,4,7
80025266,My Love from Another Star,"Fantasy, Romance",2013,Korean,1,2
80179138,Nailed It!,Family,2018,English,4,1
70142386,NCIS,Thriller,2003,English,15,1
70196145,New Girl,Comedy,2011,English,7,1
70197049,Once Upon A Time,Family,2011,English,7,1
80049832,Our Planet,Documentary,2019,English,1,1
80992115,Prime Minister and I,"Romance, Comedy",2013,Korean,1,2
81318096,Private Lives,"Romance, Comedy, Action",2020,Korean,1,2
70000006,Queen In Hyun’s Man ,"Romance, Fantasy",2012,Korean,1,2
70283260,Reign,"Sci-Fi, Supernatural",2013,English,1,1
80188471,She Was Pretty,"Comedy, Romance",2015,Korean,1,2
81290293,Start Up,"Youth, Romance",2020,Korean,1,2
80244996,Street Food: Asia,Documentary,2019,English,1,1
70000001,Summer Scent,Romance,2003,Korean,1,2
70155610,That 70s Show,Comedy,1998,English,8,1
70283264,The 100,"Sci-Fi, Supernatural",2014,English,7,1
80175722,The End of the F***ing World,Comedy,2017,English,2,1
80063867,The Family,Documentary,2019,English,1,1
80113701,The Good Place,Comedy,2016,English,4,1
80188730,The K2,"Action, Romance",2016,Korean,1,2
80031790,The Moon Embracing the Sun,"Fantasy, Romance, Historical",2012,Korean,1,2
70136120,The Office,Comedy,2005,English,9,1
80154610,The Rain,Thriller,2020,English,3,1
80189685,The Witcher,"Sci-Fi, Supernatural",2019,English,1,1
81205775,Touch Your Heart ,"Romance, Comedy",2019,Korean,1,2
80186863,Umbrella Academy,"Sci-Fi, Supernatural",2019,English,2,1
80208910,Unnatural Selection,Documentary,2019,English,1,1
70172485,Victorious,Comedy,2010,English,3,1
81042230,W: Two Worlds Apart,"Fantasy, Romance",2016,Korean,1,2
80188662,Weightlifting Fairy Kim Bok Joo,"Romance, Youth, Comedy",2016,Korean,1,2
81029926,Welcome to Waikiki,Comedy,2018,Korean,1,2
81229694,Welcome to Waikiki 2,Comedy,2019,Korean,1,2
81225148,While You Were Sleeping,Romance,2017,Korean,1,2
80998966,Yong Pal,"Romance, Medical",2015,Korean,1,2
80095532,One Day At A Time,Family,2017,English,3,1
80189221,The Haunting of Hill House,Horror,2018,English,1,1
80175802,The Sinner,Horror,2017,English,1,1
80111683,Someone Like You,Romance,2015,Mandarin,1,3
80996601,Love is Blind,Romance,2020,English,1,1
